Title: Temperature and Distance Dependence of Tidal Circularization in Close 
       Binaries: A Catalog of Eclipsing Binaries in the Southern Hemisphere 
       Observed by the TESS Satellite.  
Authors: Justesen A.B., Albrecht S. 
Table: Orbital Parameters of TESS Eclipsing Binaries
================================================================================
Byte-by-byte Description of file: apjabefcdt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  9 I9     ---   TIC    TESS Input Catalog ID
  11- 25 E15.9  d     P      Orbital period
  27- 41 E15.9  ---   t1     Time of primary eclipse (1)
  43- 57 E15.9  ---   t2     Time of secondary eclipse (1)
  59- 73 E15.9  ---   ecosw  Eccentricity times cos(longitude of periastron) 
  75- 89 E15.9  ---   d1     Depth of primary eclipse
  91-105 E15.9  ---   d2     Depth of secondary eclipse
 107-121 E15.9  mag   Tmag   TESS apparent magnitude
--------------------------------------------------------------------------------
Note (1): TESS Barycentric Julian Date (BJD - 2457000).
--------------------------------------------------------------------------------
402026209 2.676464049e+00 1.356522722e+03 1.355184531e+03 2.394968143e-05 2.779724163e-02 2.581957268e-02 1.182950000e+01 
278826516 1.408365045e+01 1.628317321e+03 1.635359127e+03 2.194504295e-06 1.024079209e-01 1.047412314e-01 1.165670000e+01 
102643159 1.783851574e+00 1.630587591e+03 1.631437910e+03 3.663824365e-02 1.415127625e-02 8.506814597e-03 4.534000000e+00 
 74627376 2.613570225e+00 1.544807624e+03 1.543501830e+03 5.949512590e-04 4.902614065e-02 1.437145085e-02 8.004000000e+00 
157751050 2.579388883e+00 1.468326212e+03 1.469615324e+03 3.544694097e-04 1.841007326e-01 1.062947138e-01 1.401960000e+01 
214716930 8.525513953e+00 1.625603966e+03 1.629866721e+03 2.570104613e-07 4.962191516e-01 3.589259025e-01 8.781500000e+00 
167304040 5.819125623e+00 1.601570890e+03 1.604091120e+03 1.049843121e-01 1.960582765e-01 1.816137284e-01 1.026550000e+01 
425549135 5.020568789e+00 1.657975938e+03 1.655729771e+03 8.181919605e-02 9.185290772e-02 5.978538745e-02 9.584800000e+00 
401869914 2.608287361e+00 1.411049750e+03 1.409747939e+03 1.404625231e-03 3.927397633e-01 6.780374624e-02 1.073280000e+01 
261136311 8.870531732e+00 1.631163571e+03 1.635588404e+03 1.847488198e-03 4.559788846e-01 4.458404459e-01 1.099640000e+01 
 30122338 7.039817585e+00 1.549266736e+03 1.545747389e+03 1.251862349e-04 2.704030372e-01 2.601220426e-01 9.504100000e+00 
374366829 5.623332728e+00 1.549066193e+03 1.551821434e+03 1.561467699e-02 7.538476418e-02 1.654129665e-02 9.892900000e+00 
203387944 6.624617087e+00 1.603016909e+03 1.606328527e+03 1.636328376e-04 2.576418387e-02 2.621982999e-02 1.283660000e+01 
201256771 3.761725117e+00 1.357545359e+03 1.355664542e+03 1.864866193e-05 1.058055448e-01 9.524080786e-02 1.138010000e+01 
178857934 1.426600292e+00 1.438670516e+03 1.437957721e+03 5.561830383e-04 2.923675371e-01 1.400409536e-01 9.788710000e+00 
 53593457 1.062103670e+00 1.468854124e+03 1.468332803e+03 1.427282213e-02 3.988715608e-02 4.323809233e-02 1.504040000e+01 
 74528791 1.802049778e+00 1.518096530e+03 1.517301518e+03 9.237309391e-02 4.416863329e-01 2.952269588e-01 6.985600000e+00 
260192157 4.371490584e+00 1.601069333e+03 1.598883942e+03 1.275714595e-04 2.329782908e-02 1.843801828e-02 1.213160000e+01 
409319605 1.135964464e+00 1.492155743e+03 1.492723431e+03 4.064364784e-04 3.978095340e-01 1.016457331e-01 5.379900000e+00 
128902999 3.377743641e+00 1.492948889e+03 1.491261038e+03 4.744624948e-04 3.342052396e-01 1.465514203e-01 1.546770000e+01 
 69888530 1.034997559e+01 1.360062380e+03 1.355051248e+03 2.485039432e-02 2.712897356e-01 1.876498900e-01 1.006790000e+01 
294059372 6.667450136e-01 1.654429209e+03 1.654762365e+03 5.089069054e-04 7.131821517e-02 1.590282181e-02 9.388200000e+00 
179295564 7.336659966e+00 1.551535766e+03 1.555204072e+03 5.147383098e-06 1.695434075e-01 1.711625048e-02 1.012530000e+01 
308184924 4.128438700e+00 1.602076301e+03 1.603606290e+03 2.019815101e-01 2.672930178e-01 5.392866025e-02 1.025990000e+01 
333127661 7.897965979e+00 1.576267788e+03 1.572620382e+03 6.001540106e-02 2.334882638e-01 1.946119479e-01 9.070900000e+00 
  5981829 1.799068958e+00 1.571120842e+03 1.572020225e+03 1.322806317e-04 1.026370332e-01 3.258113978e-02 9.098600000e+00 
141333573 4.247322835e+00 1.518989257e+03 1.516865711e+03 4.276246296e-05 1.108149671e-01 8.775836201e-02 1.145550000e+01 
262412046 2.043426938e+00 1.438395938e+03 1.439417650e+03 1.151692775e-06 7.794243623e-01 1.377073391e-01 1.056270000e+01 
300654002 2.758141572e+00 1.438455489e+03 1.437076462e+03 2.504059644e-05 6.188704494e-01 1.036907656e-01 1.027240000e+01 
